NDVI,date,latitude,longitude
0.3476,2010-01-01,16.07,76.81
0.2635,2010-01-17,16.07,76.81
0.2422,2010-02-02,16.07,76.81
0.2388,2010-02-18,16.07,76.81
0.2287,2010-03-06,16.07,76.81
0.2161,2010-03-22,16.07,76.81
0.2023,2010-04-07,16.07,76.81
0.195,2010-04-23,16.07,76.81
0.1838,2010-05-09,16.07,76.81
0.1914,2010-05-25,16.07,76.81
0.2159,2010-06-10,16.07,76.81
0.2425,2010-06-26,16.07,76.81
0.1778,2010-07-12,16.07,76.81
0.3038,2010-07-28,16.07,76.81
0.2825,2010-08-13,16.07,76.81
0.2191,2010-08-29,16.07,76.81
0.3402,2010-09-14,16.07,76.81
0.3361,2010-09-30,16.07,76.81
0.37,2010-10-16,16.07,76.81
0.3864,2010-11-01,16.07,76.81
0.368,2010-11-17,16.07,76.81
0.3711,2010-12-03,16.07,76.81
0.3161,2010-12-19,16.07,76.81
0.3161,2011-01-01,16.07,76.81
0.3011,2011-01-17,16.07,76.81
0.2981,2011-02-02,16.07,76.81
0.2321,2011-02-18,16.07,76.81
0.2145,2011-03-06,16.07,76.81
0.2504,2011-03-22,16.07,76.81
0.2204,2011-04-07,16.07,76.81
0.2077,2011-04-23,16.07,76.81
0.1793,2011-05-09,16.07,76.81
0.1998,2011-05-25,16.07,76.81
0.2522,2011-06-10,16.07,76.81
0.1535,2011-06-26,16.07,76.81
0.0973,2011-07-12,16.07,76.81
0.0645,2011-07-28,16.07,76.81
0.1758,2011-08-13,16.07,76.81
0.1348,2011-08-29,16.07,76.81
0.2759,2011-09-14,16.07,76.81
0.3723,2011-09-30,16.07,76.81
0.4002,2011-10-16,16.07,76.81
0.3287,2011-11-01,16.07,76.81
0.3017,2011-11-17,16.07,76.81
0.2822,2011-12-03,16.07,76.81
0.2579,2011-12-19,16.07,76.81
0.2579,2012-01-01,16.07,76.81
0.2154,2012-01-17,16.07,76.81
0.2268,2012-02-02,16.07,76.81
0.2325,2012-02-18,16.07,76.81
0.2048,2012-03-05,16.07,76.81
0.2148,2012-03-21,16.07,76.81
0.2264,2012-04-06,16.07,76.81
0.1845,2012-04-22,16.07,76.81
0.2043,2012-05-08,16.07,76.81
0.2088,2012-05-24,16.07,76.81
0.1926,2012-06-09,16.07,76.81
0.2369,2012-06-25,16.07,76.81
0.2032,2012-07-11,16.07,76.81
